combo_name,combo_size,families,strategies,strategy_ids,production_eligible,preferred_eligible,acceptance_reason,preferred_reason,evaluated_runs,passing_runs,pairs_tested,passing_pairs,two_leg_pairs_tested,two_leg_execution_input_pairs,two_leg_passing_pairs,required_cost_buckets,required_backtest_mode,required_two_leg_inputs,total_trades,median_profit_factor,median_sharpe,worst_drawdown
combo_4way_344,4,ecm;hybrid;mean_reversion;zscore,Pure ECM;ZScore + ECM;Hurst Filter;Classic ZScore Mean Reversion,8;2;12;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_353,4,ecm;mean_reversion;ml;zscore,Pure ECM;Hurst Filter;Feature Importance Model;Classic ZScore Mean Reversion,8;12;31;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_355,4,ecm;mean_reversion;portfolio;zscore,Pure ECM;Hurst Filter;Pair Ranking Strategy;Classic ZScore Mean Reversion,8;12;25;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_363,4,hybrid;mean_reversion;ml;zscore,ZScore + ECM;Hurst Filter;Feature Importance Model;Classic ZScore Mean Reversion,2;12;31;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_365,4,hybrid;mean_reversion;portfolio;zscore,ZScore + ECM;Hurst Filter;Pair Ranking Strategy;Classic ZScore Mean Reversion,2;12;25;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_372,4,mean_reversion;ml;portfolio;zscore,Hurst Filter;Feature Importance Model;Pair Ranking Strategy;Classic ZScore Mean Reversion,12;31;25;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_168,4,adaptive;composite;copula;mean_reversion,Dynamic Threshold Model;Composite Quant Score;Copula Risk Filter;Hurst Filter,20;18;29;12,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_174,4,adaptive;composite;ecm;mean_reversion,Dynamic Threshold Model;Composite Quant Score;Pure ECM;Hurst Filter,20;18;8;12,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_179,4,adaptive;composite;hybrid;mean_reversion,Dynamic Threshold Model;Composite Quant Score;ZScore + ECM;Hurst Filter,20;18;2;12,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_184,4,adaptive;composite;mean_reversion;ml,Dynamic Threshold Model;Composite Quant Score;Hurst Filter;Feature Importance Model,20;18;12;31,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_185,4,adaptive;composite;mean_reversion;portfolio,Dynamic Threshold Model;Composite Quant Score;Hurst Filter;Pair Ranking Strategy,20;18;12;25,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_195,4,adaptive;copula;ecm;mean_reversion,Dynamic Threshold Model;Copula Risk Filter;Pure ECM;Hurst Filter,20;29;8;12,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_200,4,adaptive;copula;hybrid;mean_reversion,Dynamic Threshold Model;Copula Risk Filter;ZScore + ECM;Hurst Filter,20;29;2;12,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_205,4,adaptive;copula;mean_reversion;ml,Dynamic Threshold Model;Copula Risk Filter;Hurst Filter;Feature Importance Model,20;29;12;31,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_206,4,adaptive;copula;mean_reversion;portfolio,Dynamic Threshold Model;Copula Risk Filter;Hurst Filter;Pair Ranking Strategy,20;29;12;25,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_215,4,adaptive;ecm;hybrid;mean_reversion,Dynamic Threshold Model;Pure ECM;ZScore + ECM;Hurst Filter,20;8;2;12,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_220,4,adaptive;ecm;mean_reversion;ml,Dynamic Threshold Model;Pure ECM;Hurst Filter;Feature Importance Model,20;8;12;31,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_221,4,adaptive;ecm;mean_reversion;portfolio,Dynamic Threshold Model;Pure ECM;Hurst Filter;Pair Ranking Strategy,20;8;12;25,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_230,4,adaptive;hybrid;mean_reversion;ml,Dynamic Threshold Model;ZScore + ECM;Hurst Filter;Feature Importance Model,20;2;12;31,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_231,4,adaptive;hybrid;mean_reversion;portfolio,Dynamic Threshold Model;ZScore + ECM;Hurst Filter;Pair Ranking Strategy,20;2;12;25,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_240,4,adaptive;mean_reversion;ml;portfolio,Dynamic Threshold Model;Hurst Filter;Feature Importance Model;Pair Ranking Strategy,20;12;31;25,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.26875228106983406
combo_4way_263,4,composite;copula;mean_reversion;regime,Composite Quant Score;Copula Risk Filter;Hurst Filter;KMeans Regime Model,18;29;12;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_278,4,composite;ecm;mean_reversion;regime,Composite Quant Score;Pure ECM;Hurst Filter;KMeans Regime Model,18;8;12;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_288,4,composite;hybrid;mean_reversion;regime,Composite Quant Score;ZScore + ECM;Hurst Filter;KMeans Regime Model,18;2;12;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_297,4,composite;mean_reversion;ml;regime,Composite Quant Score;Hurst Filter;Feature Importance Model;KMeans Regime Model,18;12;31;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_299,4,composite;mean_reversion;portfolio;regime,Composite Quant Score;Hurst Filter;Pair Ranking Strategy;KMeans Regime Model,18;12;25;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_313,4,copula;ecm;mean_reversion;regime,Copula Risk Filter;Pure ECM;Hurst Filter;KMeans Regime Model,29;8;12;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_323,4,copula;hybrid;mean_reversion;regime,Copula Risk Filter;ZScore + ECM;Hurst Filter;KMeans Regime Model,29;2;12;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_332,4,copula;mean_reversion;ml;regime,Copula Risk Filter;Hurst Filter;Feature Importance Model;KMeans Regime Model,29;12;31;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_334,4,copula;mean_reversion;portfolio;regime,Copula Risk Filter;Hurst Filter;Pair Ranking Strategy;KMeans Regime Model,29;12;25;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_343,4,ecm;hybrid;mean_reversion;regime,Pure ECM;ZScore + ECM;Hurst Filter;KMeans Regime Model,8;2;12;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_352,4,ecm;mean_reversion;ml;regime,Pure ECM;Hurst Filter;Feature Importance Model;KMeans Regime Model,8;12;31;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_354,4,ecm;mean_reversion;portfolio;regime,Pure ECM;Hurst Filter;Pair Ranking Strategy;KMeans Regime Model,8;12;25;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_362,4,hybrid;mean_reversion;ml;regime,ZScore + ECM;Hurst Filter;Feature Importance Model;KMeans Regime Model,2;12;31;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_364,4,hybrid;mean_reversion;portfolio;regime,ZScore + ECM;Hurst Filter;Pair Ranking Strategy;KMeans Regime Model,2;12;25;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_4way_371,4,mean_reversion;ml;portfolio;regime,Hurst Filter;Feature Importance Model;Pair Ranking Strategy;KMeans Regime Model,12;31;25;23,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.25198594387995527
combo_3way_88,3,composite;copula;zscore,Composite Quant Score;Copula Risk Filter;Classic ZScore Mean Reversion,18;29;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
combo_3way_94,3,composite;ecm;zscore,Composite Quant Score;Pure ECM;Classic ZScore Mean Reversion,18;8;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
combo_3way_99,3,composite;hybrid;zscore,Composite Quant Score;ZScore + ECM;Classic ZScore Mean Reversion,18;2;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
combo_3way_106,3,composite;ml;zscore,Composite Quant Score;Feature Importance Model;Classic ZScore Mean Reversion,18;31;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
combo_3way_108,3,composite;portfolio;zscore,Composite Quant Score;Pair Ranking Strategy;Classic ZScore Mean Reversion,18;25;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
combo_3way_115,3,copula;ecm;zscore,Copula Risk Filter;Pure ECM;Classic ZScore Mean Reversion,29;8;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
combo_3way_120,3,copula;hybrid;zscore,Copula Risk Filter;ZScore + ECM;Classic ZScore Mean Reversion,29;2;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
combo_3way_127,3,copula;ml;zscore,Copula Risk Filter;Feature Importance Model;Classic ZScore Mean Reversion,29;31;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,42,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.0,0.0,0.2575112374854235
