strategy_rank,strategy,family,pairs_tested,passing_pairs,total_trades,median_profit_factor,median_sharpe,worst_drawdown,production_eligible,preferred_eligible,acceptance_reason,preferred_reason
11,Pure ECM,ecm,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
12,ECM + Copula + ZScore,hybrid,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
13,Composite Quant Score,composite,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
14,Hurst + Half-Life,mean_reversion,4,0,16,inf,-0.702622627112476,0.23415871402374777,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
15,Hurst Filter,mean_reversion,4,0,16,inf,-0.702622627112476,0.23415871402374777,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
16,Profile Match,ml,4,0,42,0.4825815934528185,-0.7677530087639832,0.21825372574189322,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
17,KMeans Regime Model,regime,4,0,44,0.3747713940836872,-0.800399333204608,0.25198594387995527,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
18,Weighted Voting Model,composite,4,0,64,inf,-0.8234197309687287,0.31091948131447833,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
19,Proprietary Signal Stack,composite,4,0,60,0.4471145361497818,-0.9662004466149277,0.26343950932162075,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
20,Half-Life Optimized,mean_reversion,4,0,64,0.3854570546851948,-1.224927265673717,0.26885566923074844,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
21,HMM Regime Model,regime,4,0,44,0.2822823149902529,-1.229307908228183,0.25388413905247414,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
22,GMM Regime Model,regime,4,0,42,0.2723019659802416,-1.2846381992799678,0.25544736811955937,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
23,Dynamic Threshold Model,adaptive,4,0,60,0.3145964740204473,-1.3481902908684837,0.26875228106983406,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
24,ZScore + Copula,hybrid,4,0,60,0.27475819698094606,-1.653936228932204,0.2575112374854235,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
25,Classic ZScore Mean Reversion,zscore,4,0,60,0.27475819698094606,-1.653936228932204,0.2575112374854235,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
26,Meta Model,ml,4,0,72,0.31718738888261644,-1.815846551615056,0.28400826699506043,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
27,Regime Filtered Stat-Arb,regime,4,0,60,0.25170259624071734,-1.8591581597048914,0.26493833390389177,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
28,OU Optimal,mean_reversion,4,0,72,0.2812898353577421,-1.9827539011070423,0.2987317487176142,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
29,ML Confidence,ml,4,0,72,0.28801154712959687,-2.061273211222309,0.28627848265124334,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
30,Tail Event Reversion,copula,4,0,118,0.193025342337944,-4.136073369837268,0.33397103547009016,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
31,Dual Conditional Copula,copula,4,0,150,0.18096566705401623,-4.1836984256943754,0.3828062817473273,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
32,Copula + Regime Strategy,copula,4,0,174,0.1649163293897205,-4.508758197143556,0.41127582714879046,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
33,Copula Divergence Persistence,copula,4,0,170,0.17072007145312176,-4.517955565062559,0.3846556364649353,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
34,Copula Dislocation Ranking Engine,copula,4,0,222,0.18775401803110112,-4.713153325820262,0.4388948838977923,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
35,Pure Copula Portfolio,portfolio,4,0,222,0.18775401803110112,-4.713153325820262,0.4388948838977923,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
36,Pure Copula,copula,4,0,178,0.15779434003481285,-4.915387377411248,0.417657966309366,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
37,Copula Tail Risk Sizing,portfolio,4,0,178,0.15779434003481285,-4.915387377411248,0.417657966309366,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250
